term,Bb,C2,C4b,C5,C5a,Factor.D,MBL,Factor.I,C1q,C3,C4,Factor.B,Factor.H,C4a,sC5b.9
Bb,,,,,,,,,,,,,,,
C2, .25,,,,,,,,,,,,,,
C4b, .29, .31,,,,,,,,,,,,,
C5, .25, .29, .74,,,,,,,,,,,,
C5a, .32, .37, .34, .35,,,,,,,,,,,
Factor D, .28, .11,-.10,-.18, .05,,,,,,,,,,
MBL, .08,-.01,-.15,-.03, .25, .21,,,,,,,,,
Factor I,-.06, .16,-.03,-.05, .14, .38, .05,,,,,,,,
C1q, .17, .18, .18, .12, .01, .49,-.07, .48,,,,,,,
C3, .21, .11, .11,-.01, .17, .51, .19, .33, .51,,,,,,
C4, .29, .29, .71, .84, .49,-.02, .03, .20, .36, .20,,,,,
Factor B, .18, .28, .08, .01, .26, .17, .13, .46, .24, .45, .20,,,,
Factor H, .21, .21, .02, .04, .19, .33, .19, .65, .46, .58, .29, .72,,,
C4a, .12, .09, .29, .38, .11,-.03,-.05,-.01, .24, .10, .45, .08, .06,,
sC5b-9, .38, .16, .41, .46, .43, .22, .27, .05, .26, .39, .60, .21, .25, .25,
